sample,time_sec,label
92368,369.472,tongue
94371,377.484,feet
96289,385.156,right_hand
98241,392.964,left_hand
100249,400.996,left_hand
102360,409.44,right_hand
104277,417.108,feet
106327,425.308,tongue
108258,433.032,right_hand
110256,441.024,feet
112162,448.648,left_hand
114057,456.228,left_hand
116029,464.116,left_hand
117973,471.892,tongue
119940,479.76,right_hand
122060,488.24,right_hand
124068,496.272,left_hand
126134,504.536,left_hand
128169,512.68,feet
130235,520.944,left_hand
132306,529.224,right_hand
134386,537.544,tongue
136298,545.192,tongue
138329,553.316,feet
140282,561.128,left_hand
142243,568.972,tongue
144347,577.388,tongue
146351,585.404,right_hand
148326,593.304,tongue
150352,601.408,tongue
152423,609.692,right_hand
154530,618.12,left_hand
156622,626.488,right_hand
158713,634.852,feet
160756,643.024,feet
162820,651.28,feet
164840,659.36,tongue
166812,667.248,feet
168775,675.1,left_hand
170700,682.8,tongue
172781,691.124,right_hand
174759,699.036,feet
176749,706.996,right_hand
178868,715.472,feet
180774,723.096,tongue
182702,730.808,right_hand
184816,739.264,feet
186875,747.5,left_hand
189203,756.812,left_hand
191206,764.824,left_hand
193124,772.496,tongue
195076,780.304,right_hand
197084,788.336,left_hand
199195,796.78,feet
201112,804.448,left_hand
203162,812.648,feet
205093,820.372,right_hand
207091,828.364,tongue
208997,835.988,left_hand
210892,843.568,feet
212864,851.456,feet
214808,859.232,left_hand
216775,867.1,feet
218895,875.58,right_hand
220903,883.612,tongue
222969,891.876,tongue
225005,900.02,tongue
227071,908.284,feet
229141,916.564,left_hand
231221,924.884,tongue
233133,932.532,right_hand
235164,940.656,tongue
237117,948.468,right_hand
239078,956.312,left_hand
241182,964.728,feet
243186,972.744,right_hand
245161,980.644,left_hand
247187,988.748,feet
249258,997.032,feet
251365,1005.46,left_hand
253457,1013.828,feet
255548,1022.192,tongue
257591,1030.364,tongue
259654,1038.62,right_hand
261675,1046.7,left_hand
263647,1054.588,right_hand
265610,1062.44,tongue
267535,1070.14,right_hand
269616,1078.464,tongue
271594,1086.376,feet
273584,1094.336,right_hand
275703,1102.812,right_hand
277609,1110.436,right_hand
279537,1118.148,feet
281651,1126.604,tongue
283710,1134.84,left_hand
286038,1144.152,right_hand
288041,1152.164,tongue
289959,1159.836,left_hand
291911,1167.644,feet
293919,1175.676,feet
296030,1184.12,tongue
297947,1191.788,left_hand
299997,1199.988,left_hand
301928,1207.712,feet
303926,1215.704,right_hand
305832,1223.328,tongue
307727,1230.908,tongue
309699,1238.796,tongue
311643,1246.572,right_hand
313610,1254.44,left_hand
315730,1262.92,feet
317738,1270.952,right_hand
319804,1279.216,tongue
321840,1287.36,left_hand
323906,1295.624,tongue
325976,1303.904,feet
328056,1312.224,right_hand
329968,1319.872,tongue
331999,1327.996,tongue
333952,1335.808,left_hand
335913,1343.652,right_hand
338017,1352.068,right_hand
340021,1360.084,feet
341996,1367.984,tongue
344022,1376.088,right_hand
346093,1384.372,left_hand
348200,1392.8,left_hand
350292,1401.168,tongue
352383,1409.532,right_hand
354426,1417.704,left_hand
356490,1425.96,feet
358510,1434.04,right_hand
360482,1441.928,right_hand
362445,1449.78,feet
364370,1457.48,left_hand
366451,1465.804,tongue
368429,1473.716,feet
370419,1481.676,feet
372538,1490.152,feet
374444,1497.776,feet
376372,1505.488,left_hand
378486,1513.944,right_hand
380545,1522.18,left_hand
382873,1531.492,right_hand
384876,1539.504,left_hand
386794,1547.176,left_hand
388746,1554.984,feet
390754,1563.016,feet
392865,1571.46,right_hand
394782,1579.128,feet
396832,1587.328,tongue
398763,1595.052,left_hand
400761,1603.044,tongue
402667,1610.668,left_hand
404562,1618.248,left_hand
406534,1626.136,right_hand
408478,1633.912,tongue
410445,1641.78,feet
412565,1650.26,right_hand
414573,1658.292,tongue
416639,1666.556,feet
418675,1674.7,tongue
420741,1682.964,feet
422811,1691.244,tongue
424891,1699.564,right_hand
426803,1707.212,right_hand
428834,1715.336,tongue
430787,1723.148,left_hand
432748,1730.992,right_hand
434852,1739.408,right_hand
436856,1747.424,right_hand
438831,1755.324,feet
440857,1763.428,tongue
442928,1771.712,left_hand
445035,1780.14,tongue
447127,1788.508,left_hand
449218,1796.872,feet
451261,1805.044,left_hand
453325,1813.3,tongue
455345,1821.38,left_hand
457317,1829.268,feet
459280,1837.12,left_hand
461205,1844.82,right_hand
463286,1853.144,feet
465264,1861.056,feet
467254,1869.016,tongue
469373,1877.492,left_hand
471279,1885.116,right_hand
473207,1892.828,tongue
475321,1901.284,right_hand
477380,1909.52,feet
479708,1918.832,feet
481711,1926.844,left_hand
483629,1934.516,tongue
485581,1942.324,right_hand
487589,1950.356,tongue
489700,1958.8,left_hand
491617,1966.468,left_hand
493667,1974.668,feet
495598,1982.392,feet
497596,1990.384,right_hand
499502,1998.008,tongue
501397,2005.588,right_hand
503369,2013.476,right_hand
505313,2021.252,left_hand
507280,2029.12,right_hand
509400,2037.6,tongue
511408,2045.632,tongue
513474,2053.896,right_hand
515510,2062.04,right_hand
517576,2070.304,right_hand
519645,2078.584,right_hand
521726,2086.904,tongue
523638,2094.552,tongue
525669,2102.676,feet
527622,2110.488,tongue
529583,2118.332,left_hand
531687,2126.748,right_hand
533691,2134.764,feet
535666,2142.664,right_hand
537692,2150.768,left_hand
539763,2159.052,tongue
541870,2167.48,left_hand
543962,2175.848,tongue
546053,2184.212,left_hand
548096,2192.384,left_hand
550160,2200.64,left_hand
552180,2208.72,left_hand
554152,2216.608,feet
556115,2224.46,feet
558040,2232.16,tongue
560121,2240.484,right_hand
562099,2248.396,feet
564089,2256.356,feet
566208,2264.832,feet
568114,2272.456,tongue
570042,2280.168,feet
572156,2288.624,left_hand
574215,2296.86,feet
576543,2306.172,left_hand
578546,2314.184,tongue
580464,2321.856,right_hand
582416,2329.664,tongue
584424,2337.696,tongue
586535,2346.14,feet
588452,2353.808,tongue
590502,2362.008,tongue
592433,2369.732,feet
594431,2377.724,right_hand
596337,2385.348,tongue
598232,2392.928,feet
600204,2400.816,left_hand
602148,2408.592,right_hand
604115,2416.46,right_hand
606235,2424.94,right_hand
608243,2432.972,feet
610309,2441.236,right_hand
612345,2449.38,tongue
614411,2457.644,feet
616481,2465.924,tongue
618561,2474.244,right_hand
620473,2481.892,feet
622504,2490.016,left_hand
624457,2497.828,tongue
626418,2505.672,left_hand
628522,2514.088,feet
630526,2522.104,tongue
632501,2530.004,left_hand
634527,2538.108,feet
636598,2546.392,left_hand
638705,2554.82,right_hand
640797,2563.188,right_hand
642888,2571.552,left_hand
644931,2579.724,tongue
646995,2587.98,left_hand
649015,2596.06,tongue
650987,2603.948,feet
652950,2611.8,feet
654875,2619.5,left_hand
656956,2627.824,feet
658934,2635.736,right_hand
660924,2643.696,right_hand
663043,2652.172,left_hand
664949,2659.796,feet
666877,2667.508,left_hand
668991,2675.964,right_hand
671050,2684.2,left_hand
